City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Ramgarh,IN,2022-04-09 18:40:42,23.6333,85.5167,82.45,17,0,3.15,clear sky
234,Botro,CI,2022-04-09 18:40:43,7.8525,-5.3106,80.08,72,99,9.73,light rain
235,Emerald,AU,2022-04-09 18:40:43,-23.5333,148.1667,71.74,83,52,9.22,broken clouds
236,Russell,US,2022-04-09 18:40:44,32.3502,-85.1999,60.08,36,20,17.27,few clouds
237,Gamba,GA,2022-04-09 18:40:44,-2.65,10.0,73.15,87,51,4.94,broken clouds
238,Aguimes,ES,2022-04-09 18:40:45,27.9054,-15.4461,65.03,64,20,19.57,few clouds
239,Balkanabat,TM,2022-04-09 18:40:45,39.5108,54.3671,73.47,34,100,4.45,overcast clouds
240,Varhaug,NO,2022-04-09 18:40:46,58.6147,5.6457,38.86,79,33,27.96,scattered clouds
241,Korla,CN,2022-04-09 18:40:46,41.7597,86.1469,66.36,29,100,11.74,overcast clouds
242,Haines Junction,CA,2022-04-09 18:40:47,60.7522,-137.5108,24.75,63,100,10.36,overcast clouds
243,Bukama,CD,2022-04-09 18:40:47,-9.2,25.85,71.87,91,41,1.34,scattered clouds
244,Aksay,RU,2022-04-09 18:40:48,47.26,39.87,57.25,51,100,11.01,overcast clouds
245,Lungi,SL,2022-04-09 18:40:49,9.2212,-12.6831,86.23,53,60,12.84,broken clouds
246,Luganville,VU,2022-04-09 18:40:50,-15.5333,167.1667,78.82,82,26,4.07,scattered clouds
247,Hamilton,US,2022-04-09 18:36:05,39.1834,-84.5333,41.88,71,100,13.8,overcast clouds
248,Tuatapere,NZ,2022-04-09 18:38:24,-46.1333,167.6833,45.21,89,96,4.14,overcast clouds
249,Wanlaweyn,SO,2022-04-09 18:40:50,2.6185,44.8938,81.19,69,32,15.32,scattered clouds
250,Hokitika,NZ,2022-04-09 18:40:51,-42.7167,170.9667,56.28,81,61,1.19,broken clouds
251,Dwarka,IN,2022-04-09 18:40:51,22.2394,68.9678,80.64,73,0,10.47,clear sky
252,Dali,CN,2022-04-09 18:40:52,25.7,100.1833,54.05,82,10,4.14,clear sky
253,Dicabisagan,PH,2022-04-09 18:40:52,17.0818,122.4157,75.49,92,100,3.94,overcast clouds
254,Itarema,BR,2022-04-09 18:40:30,-2.9248,-39.9167,81.25,80,100,10.47,overcast clouds
255,Manakara,MG,2022-04-09 18:40:53,-22.1333,48.0167,74.07,87,15,5.23,light rain
256,Korem,ET,2022-04-09 18:40:54,12.5058,39.5228,58.8,35,0,3.96,clear sky
257,San Jose,US,2022-04-09 18:39:55,37.3394,-121.895,73.92,37,0,13.8,clear sky
258,Flin Flon,CA,2022-04-09 18:40:54,54.7682,-101.865,40.84,60,75,10.36,broken clouds
